locus	gene
44	ENSG00000269918
44	ENSG00000255310
44	ENSG00000254556
44	ENSG00000171044
44	ENSG00000104643
44	ENSG00000280273
44	ENSG00000154316
44	ENSG00000205882
44	ENSG00000254507
44	ENSG00000284610
45	ENSG00000253475
45	ENSG00000228801
45	ENSG00000147488
45	ENSG00000254687
46	ENSG00000183808
46	ENSG00000164951
47	ENSG00000169398
47	ENSG00000253210
47	ENSG00000271959
47	ENSG00000181790
48	ENSG00000272871
48	ENSG00000215237
48	ENSG00000232000
48	ENSG00000164975
49	ENSG00000207895
49	ENSG00000148690
49	ENSG00000280485
49	ENSG00000173145
49	ENSG00000270099
5	ENSG00000117569
5	ENSG00000285922
50	ENSG00000231233
50	ENSG00000148843
50	ENSG00000197748
50	ENSG00000148834
50	ENSG00000065621
50	ENSG00000228261
50	ENSG00000148841
51	ENSG00000231233
51	ENSG00000148843
51	ENSG00000197748
51	ENSG00000148834
51	ENSG00000065621
51	ENSG00000228261
51	ENSG00000148841
52	ENSG00000245573
52	ENSG00000254934
52	ENSG00000169519
53	ENSG00000144785
53	ENSG00000076108
53	ENSG00000207031
53	ENSG00000139547
53	ENSG00000166886
53	ENSG00000287200
53	ENSG00000123329
53	ENSG00000135502
53	ENSG00000135452
53	ENSG00000123427
53	ENSG00000123297
53	ENSG00000270039
53	ENSG00000139263
54	ENSG00000139323
54	ENSG00000258302
54	ENSG00000286021
55	ENSG00000213995
55	ENSG00000134905
55	ENSG00000255874
55	ENSG00000277767
55	ENSG00000102606
55	ENSG00000235875
55	ENSG00000153495
56	ENSG00000101782
56	ENSG00000264745
56	ENSG00000273321
56	ENSG00000266489
56	ENSG00000252921
57	ENSG00000266335
57	ENSG00000280098
57	ENSG00000221291
57	ENSG00000101751
58	ENSG00000088930
58	ENSG00000279082
58	ENSG00000225321
59	ENSG00000088930
59	ENSG00000279082
59	ENSG00000225321
6	ENSG00000117569
6	ENSG00000285922
60	ENSG00000088930
60	ENSG00000279082
60	ENSG00000225321
61	ENSG00000125814
61	ENSG00000270001
61	ENSG00000230133
61	ENSG00000101463
61	ENSG00000101474
61	ENSG00000286472
7	ENSG00000117569
7	ENSG00000285922
8	ENSG00000285922
9	ENSG00000232995
9	ENSG00000201987
9	ENSG00000212086
