locus	gene
24	ENSG00000248479
25	ENSG00000138650
25	ENSG00000254535
25	ENSG00000248434
26	ENSG00000254535
26	ENSG00000248434
27	ENSG00000288035
28	ENSG00000233828
28	ENSG00000249362
28	ENSG00000287783
28	ENSG00000287862
28	ENSG00000247828
28	ENSG00000250156
28	ENSG00000271904
28	ENSG00000250377
29	ENSG00000233828
29	ENSG00000249362
29	ENSG00000287783
29	ENSG00000287862
29	ENSG00000247828
29	ENSG00000250156
29	ENSG00000271904
29	ENSG00000250377
3	ENSG00000177181
3	ENSG00000200254
3	ENSG00000065978
3	ENSG00000164008
3	ENSG00000283580
3	ENSG00000177868
3	ENSG00000227533
3	ENSG00000186973
3	ENSG00000179178
3	ENSG00000117395
3	ENSG00000253313
3	ENSG00000066056
3	ENSG00000117400
3	ENSG00000066322
3	ENSG00000198198
3	ENSG00000178922
3	ENSG00000142949
3	ENSG00000126091
3	ENSG00000236200
3	ENSG00000117407
3	ENSG00000237950
3	ENSG00000117411
3	ENSG00000159214
3	ENSG00000196517
3	ENSG00000178028
3	ENSG00000117419
3	ENSG00000187147
3	ENSG00000198520
3	ENSG00000142945
3	ENSG00000142937
3	ENSG00000142959
3	ENSG00000126088
3	ENSG00000234315
3	ENSG00000117450
30	ENSG00000233828
30	ENSG00000249362
30	ENSG00000287783
30	ENSG00000287862
30	ENSG00000247828
30	ENSG00000250156
30	ENSG00000271904
30	ENSG00000250377
31	ENSG00000175749
31	ENSG00000112874
32	ENSG00000145817
32	ENSG00000183775
32	ENSG00000249363
32	ENSG00000186314
32	ENSG00000156463
32	ENSG00000133706
33	ENSG00000112293
33	ENSG00000137261
33	ENSG00000260286
33	ENSG00000244618
33	ENSG00000079691
33	ENSG00000286933
33	ENSG00000079689
33	ENSG00000112343
33	ENSG00000272462
33	ENSG00000124610
33	ENSG00000275714
33	ENSG00000124529
33	ENSG00000286522
33	ENSG00000278463
33	ENSG00000276410
33	ENSG00000197061
33	ENSG00000187475
33	ENSG00000180596
33	ENSG00000180573
33	ENSG00000168298
33	ENSG00000158373
33	ENSG00000274290
33	ENSG00000283064
33	ENSG00000277157
33	ENSG00000196866
33	ENSG00000282988
33	ENSG00000217275
33	ENSG00000277075
33	ENSG00000274750
33	ENSG00000278588
33	ENSG00000158406
33	ENSG00000186470
33	ENSG00000124508
33	ENSG00000026950
33	ENSG00000124549
33	ENSG00000111801
33	ENSG00000112763
33	ENSG00000228223
33	ENSG00000182952
33	ENSG00000218346
33	ENSG00000285571
33	ENSG00000261584
33	ENSG00000241549
33	ENSG00000224843
33	ENSG00000287966
33	ENSG00000196787
33	ENSG00000204789
33	ENSG00000124613
33	ENSG00000216915
33	ENSG00000287252
33	ENSG00000275126
33	ENSG00000274641
33	ENSG00000219891
33	ENSG00000196812
33	ENSG00000280107
33	ENSG00000216901
34	ENSG00000137261
34	ENSG00000260286
34	ENSG00000244618
34	ENSG00000079691
34	ENSG00000286933
34	ENSG00000079689
34	ENSG00000112343
34	ENSG00000272462
34	ENSG00000124610
34	ENSG00000275714
34	ENSG00000124529
34	ENSG00000286522
34	ENSG00000278463
34	ENSG00000276410
34	ENSG00000197061
34	ENSG00000187475
34	ENSG00000180596
34	ENSG00000180573
34	ENSG00000168298
34	ENSG00000158373
34	ENSG00000274290
34	ENSG00000283064
34	ENSG00000277157
34	ENSG00000196866
34	ENSG00000282988
34	ENSG00000217275
34	ENSG00000277075
34	ENSG00000274750
34	ENSG00000278588
34	ENSG00000158406
34	ENSG00000186470
34	ENSG00000124508
34	ENSG00000026950
34	ENSG00000124549
34	ENSG00000111801
34	ENSG00000112763
34	ENSG00000228223
34	ENSG00000182952
34	ENSG00000218346
34	ENSG00000285571
34	ENSG00000261584
34	ENSG00000241549
34	ENSG00000224843
34	ENSG00000287966
34	ENSG00000196787
34	ENSG00000204789
34	ENSG00000124613
34	ENSG00000216915
34	ENSG00000287252
34	ENSG00000275126
34	ENSG00000274641
34	ENSG00000219891
34	ENSG00000196812
34	ENSG00000280107
34	ENSG00000216901
34	ENSG00000176933
35	ENSG00000146085
35	ENSG00000031691
35	ENSG00000124490
35	ENSG00000279127
36	ENSG00000272047
36	ENSG00000146425
