locus	gene
20	ENSG00000003756.17
20	ENSG00000001617.12
20	ENSG00000114349.10
20	ENSG00000188338.15
20	ENSG00000114353.17
20	ENSG00000012171.20
20	ENSG00000179564.4
20	ENSG00000186792.17
20	ENSG00000243477.5
20	ENSG00000114378.17
20	ENSG00000068028.17
20	ENSG00000126062.4
20	ENSG00000007402.11
20	ENSG00000114735.9
20	ENSG00000088543.15
20	ENSG00000114737.15
20	ENSG00000088538.13
20	ENSG00000145050.18
20	ENSG00000164080.13
20	ENSG00000164081.12
20	ENSG00000285749.2
21	ENSG00000164045.12
21	ENSG00000164048.14
21	ENSG00000172113.9
21	ENSG00000164049.14
21	ENSG00000232112.3
21	ENSG00000164053.21
21	ENSG00000164054.15
21	ENSG00000114268.12
21	ENSG00000114270.17
21	ENSG00000225697.13
21	ENSG00000213672.8
21	ENSG00000068745.15
21	ENSG00000114302.16
21	ENSG00000177479.19
21	ENSG00000178467.18
21	ENSG00000178252.18
21	ENSG00000178057.15
21	ENSG00000178149.17
21	ENSG00000198218.11
21	ENSG00000172053.18
21	ENSG00000172037.14
21	ENSG00000177352.10
21	ENSG00000185909.15
21	ENSG00000173421.17
21	ENSG00000188315.8
21	ENSG00000114316.13
21	ENSG00000145022.4
21	ENSG00000067560.12
21	ENSG00000145020.15
21	ENSG00000145029.13
21	ENSG00000173402.11
21	ENSG00000164061.5
21	ENSG00000173531.15
21	ENSG00000164068.16
21	ENSG00000173540.12
21	ENSG00000176095.12
21	ENSG00000187492.9
21	ENSG00000185614.6
21	ENSG00000182179.13
21	ENSG00000183763.9
21	ENSG00000164076.17
21	ENSG00000164078.13
21	ENSG00000164077.14
21	ENSG00000004534.15
21	ENSG00000003756.17
21	ENSG00000001617.12
21	ENSG00000114349.10
21	ENSG00000188338.15
21	ENSG00000114353.17
21	ENSG00000012171.20
21	ENSG00000179564.4
21	ENSG00000186792.17
21	ENSG00000243477.5
21	ENSG00000114378.17
21	ENSG00000068028.17
21	ENSG00000126062.4
21	ENSG00000007402.11
21	ENSG00000114735.9
21	ENSG00000088543.15
21	ENSG00000114737.15
21	ENSG00000088538.13
21	ENSG00000145050.18
21	ENSG00000164080.13
21	ENSG00000164081.12
21	ENSG00000285749.2
21	ENSG00000184345.5
22	ENSG00000185565.12
22	ENSG00000144847.13
22	ENSG00000163424.9
22	ENSG00000114638.8
22	ENSG00000121578.13
22	ENSG00000031081.11
22	ENSG00000163389.12
22	ENSG00000144843.11
23	ENSG00000185565.12
23	ENSG00000144847.13
23	ENSG00000163424.9
23	ENSG00000114638.8
23	ENSG00000121578.13
23	ENSG00000031081.11
23	ENSG00000163389.12
23	ENSG00000144843.11
24	ENSG00000205678.8
24	ENSG00000145242.13
24	ENSG00000109163.6
27	ENSG00000170571.12
27	ENSG00000151883.18
28	ENSG00000145715.15
28	ENSG00000164180.13
29	ENSG00000145715.15
29	ENSG00000164180.13
3	ENSG00000127125.9
3	ENSG00000066185.13
3	ENSG00000186409.17
3	ENSG00000171960.11
3	ENSG00000117385.15
3	ENSG00000164008.16
3	ENSG00000164010.15
3	ENSG00000177868.12
3	ENSG00000164011.18
3	ENSG00000243710.7
3	ENSG00000179178.11
3	ENSG00000117395.12
3	ENSG00000253313.6
3	ENSG00000066056.14
3	ENSG00000117400.17
3	ENSG00000117399.14
3	ENSG00000066322.15
3	ENSG00000159479.17
3	ENSG00000198198.17
3	ENSG00000142949.17
3	ENSG00000066135.13
3	ENSG00000126091.20
3	ENSG00000117407.17
3	ENSG00000117408.11
3	ENSG00000117410.14
3	ENSG00000117411.16
3	ENSG00000159214.13
3	ENSG00000196517.11
3	ENSG00000171872.5
3	ENSG00000178028.14
3	ENSG00000117419.16
3	ENSG00000198520.12
3	ENSG00000173846.13
3	ENSG00000222009.8
3	ENSG00000117425.14
3	ENSG00000070785.17
3	ENSG00000162415.7
3	ENSG00000070759.17
3	ENSG00000280670.3
30	ENSG00000145715.15
30	ENSG00000164180.13
31	ENSG00000145725.19
31	ENSG00000112874.10
32	ENSG00000145817.17
32	ENSG00000183775.11
32	ENSG00000186314.11
32	ENSG00000156463.18
32	ENSG00000204928.2
32	ENSG00000173261.9
32	ENSG00000133706.18
32	ENSG00000091009.8
33	ENSG00000137261.14
33	ENSG00000111802.14
33	ENSG00000111913.19
33	ENSG00000079691.18
33	ENSG00000079689.14
33	ENSG00000164508.4
33	ENSG00000146047.6
33	ENSG00000124564.17
33	ENSG00000112343.11
33	ENSG00000124610.4
33	ENSG00000275714.1
33	ENSG00000278637.1
33	ENSG00000278705.1
33	ENSG00000286522.1
33	ENSG00000278463.1
33	ENSG00000276410.3
33	ENSG00000287080.1
33	ENSG00000187837.3
33	ENSG00000010704.18
33	ENSG00000197061.4
33	ENSG00000187475.5
33	ENSG00000180596.7
33	ENSG00000180573.9
33	ENSG00000168298.6
33	ENSG00000158373.8
33	ENSG00000274290.2
33	ENSG00000277157.1
33	ENSG00000197409.7
33	ENSG00000196866.2
33	ENSG00000277224.2
33	ENSG00000273802.2
33	ENSG00000274750.2
33	ENSG00000124575.6
33	ENSG00000274618.1
33	ENSG00000273983.1
33	ENSG00000278588.1
33	ENSG00000158406.4
33	ENSG00000186470.14
33	ENSG00000124508.17
33	ENSG00000026950.17
33	ENSG00000111801.16
33	ENSG00000112763.17
33	ENSG00000124557.12
33	ENSG00000182952.5
33	ENSG00000146109.5
33	ENSG00000181315.11
33	ENSG00000112812.16
33	ENSG00000158553.4
33	ENSG00000124613.8
33	ENSG00000096654.15
33	ENSG00000197238.4
33	ENSG00000273542.1
33	ENSG00000233822.4
33	ENSG00000197279.4
33	ENSG00000196812.5
33	ENSG00000198315.11
34	ENSG00000137261.14
34	ENSG00000111802.14
34	ENSG00000079691.18
34	ENSG00000079689.14
34	ENSG00000164508.4
34	ENSG00000146047.6
34	ENSG00000124564.17
34	ENSG00000112343.11
34	ENSG00000124610.4
34	ENSG00000275714.1
34	ENSG00000278637.1
34	ENSG00000278705.1
34	ENSG00000286522.1
34	ENSG00000278463.1
34	ENSG00000276410.3
34	ENSG00000287080.1
34	ENSG00000187837.3
34	ENSG00000010704.18
34	ENSG00000197061.4
34	ENSG00000187475.5
34	ENSG00000180596.7
34	ENSG00000180573.9
34	ENSG00000168298.6
34	ENSG00000158373.8
34	ENSG00000274290.2
34	ENSG00000277157.1
34	ENSG00000197409.7
34	ENSG00000196866.2
34	ENSG00000277224.2
34	ENSG00000273802.2
34	ENSG00000274750.2
34	ENSG00000124575.6
34	ENSG00000274618.1
34	ENSG00000273983.1
34	ENSG00000278588.1
34	ENSG00000158406.4
34	ENSG00000186470.14
34	ENSG00000124508.17
34	ENSG00000026950.17
34	ENSG00000111801.16
34	ENSG00000112763.17
34	ENSG00000124557.12
34	ENSG00000182952.5
34	ENSG00000146109.5
34	ENSG00000181315.11
34	ENSG00000274997.1
34	ENSG00000112812.16
34	ENSG00000158553.4
34	ENSG00000124613.8
34	ENSG00000096654.15
34	ENSG00000197238.4
34	ENSG00000273542.1
34	ENSG00000233822.4
34	ENSG00000197279.4
34	ENSG00000196812.5
34	ENSG00000198315.11
34	ENSG00000137185.12
34	ENSG00000197062.11
35	ENSG00000146085.8
35	ENSG00000031691.7
35	ENSG00000203972.10
